Type	Date	Time	Source	Category	Event	User	Computer
Warning	6/12/2022	2:46:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:40:37 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:40:37 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:30:01 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:29:48 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:23:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:10:55 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:10:33 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:10:07 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:09:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:08:24 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:07:10 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:03:54 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:03:42 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:03:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:03:29 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	2:03:20 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/12/2022	1:36:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Information	6/12/2022	1:00:19 AM	AntiVirus	None	3	N/A	BO126B-041780
